Sample,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,SO3,S,F ,Cl,LOI,Ba,Co,Cr,Cs,Li,Ni,Rb,Sr,V,Zr
39/2,23,70,39.6,3.02,8.14,6.33,6.9,0.05,15.98,12.08,2.14,1.32,0.64,,,,,,,,,,,,,,,,
b34,25.04333333,79.18333333,39.61,1.23,9.41,11.6,,0.18,25.31,8.5,1.64,0.62,0.11,,,,,,1.8,61.27,63.08,292.09,4.93,,184.06,30.13,7.49,301.16,16.25
atk2/2,14.5292,77.3083,39.71,4.5,6.02,12.34,,0.13,11.88,11.69,0.56,1.17,0.9,,,,,,10.74,995,61,680,,,590,92,1220,202,360
7,12.7,76.29,39.72,0.58,5.5,7.57,4.36,0.1,29.06,1.78,1.26,0.06,0.46,,,,,,8.66,,,,,,,,,,
cc-4,14.5156,77.6214,39.73,2.29,2.17,9.12,,0.16,32.65,9.88,0.06,0.08,1.3,,,1.07,,,,1376.54,80.26,1005.38,0.43,,493.15,25.92,589.05,124.18,440.19
b26,25.04333333,79.18333333,39.81,0.7,11.71,9.65,,0.15,22.31,10.64,1.07,1.34,0.07,,,,,,2.6,50.5,73.76,470.09,23.18,,463.09,125.75,7.89,143.49,8.87
rbh-42,16.05,76.75,39.82,0.87,14.08,11.35,,0.23,5.37,13.16,1.87,2.64,0.1,,,,,,8.72,338,46.48,165.82,27.17,,112.99,91.98,97.05,217.5,48.35
b40,25.04333333,79.18333333,39.84,0.6,12.01,8.43,,0.15,25.05,7.23,2.42,0.82,0.07,,,,,,3.4,85.33,42.79,518.67,12.19,,220.89,53.26,11.95,140.09,13.48
4,13.98,76.3,39.85,0.16,2.98,9.42,2,0.12,35.71,1.28,0.25,0.1,0.16,,,,,,,,150,927,,,1280,,,39,
b27,25.04333333,79.18333333,39.85,0.73,10.09,9.88,,0.18,22.62,11.61,1.17,1.01,0.07,,,,,,2.6,58.07,71.29,476.75,12.65,,446.97,80.03,5.49,148.14,9.68
b-3,16.62,80.53,39.92,0.09,1.14,4.16,5.86,0.17,46.97,0.43,0.12,0.12,0.03,,,,,,,13,22,2822,,,2215,4,5,62,12
4,13.085,76.415,39.98,0.12,4.73,3.43,7.69,0.14,30.91,1.12,0.74,0.04,0.36,,,,,,9.9,,103,1866,,,944,1,10,,
b31,25.04333333,79.18333333,39.99,1.13,9.74,11.15,,0.19,24.4,8.01,1.71,0.44,0.12,,,,,,3.2,56.78,55.35,313.31,9.81,,197.24,13.89,14.27,201.94,21.81
b42,25.04333333,79.18333333,40.01,0.62,11.67,8,,0.13,24.54,8.62,2.27,0.72,0.07,,,,,,3.4,83.18,43.52,846.57,9.46,,267.37,49.74,12.12,140.02,9.54
8,22,74.08,40.02,0.1,0.43,9.72,,1.58,4.6,22.5,0.11,0.06,,20,,,,,,,,,,,,,,,
bk24,23,70,40.02,2.96,16.75,8.01,3.15,0.03,3.84,11.77,5.92,0.43,1.41,,,,,,,,,,,,,,,,
b33,25.04333333,79.18333333,40.03,1.17,10.06,10.34,,0.17,24.65,8.92,2.12,0.38,0.13,,,,,,2.1,46.69,58.57,323.77,5.41,,202.06,15.1,14.26,207.73,19.36
ck-9,23.25,69.5,40.03,2.77,10.7,,12.48,0.15,10.17,7.93,2.09,3.01,0.34,,,,,,11.01,,,,,,,,,,
li-8,13.6954,75.6381,40.04,0.24,13.67,10.9,,0.13,27.44,4.08,0.08,0.02,0.03,,,,,,3.9,5.2,71,1904,0.05,,525,0.5,17.9,196,13.5
sam 197-11,12.467,78.45,40.04,1.29,3.88,12.79,,0.19,9.05,14.43,3.08,2.11,0.44,3.84,,,,,4.03,1040,64,585,,,,69,740,392,67
r-415,13.9958,76.2789,40.05,0.1,1.38,8.93,,0.83,37.9,0.15,,,0.02,,,0.05,,,10.03,0,,,,,,,,,
beh-4/63,20.2137,82.2032,40.1,1.35,5.98,,7.36,0.14,17.91,7.36,0.35,4.38,1.49,,0.22,,0.34,0.004,12.14,2728,44,810,,,574,179,1253,36,294
rjw14-25,24.85,72.80833333,40.165,2.321,11.988,19.697,,0.238,5.597,6.794,0.855,0.022,0.567,,,,,,10.02701891,109.9477652,59.56517039,111.9993732,0.526167582,,108.1773906,1.084187285,59.54145242,292.149481,295.873985
24/a,22.045,74.125,40.2,1.3,17.1,3.97,8.53,0.24,4,12.9,3.66,1.98,1.14,1.78,,,,,,,,,,,,,,,
24a/b,22.05,74.025,40.2,1.3,17.1,3.97,8.53,0.24,4,12.9,3.66,1.98,1.48,1.73,,,,,3.95,,,,,,,,,,
deb 2/41,20.2137,82.2032,40.24,0.97,4.57,7.91,,0.19,19.49,6.62,0.58,2,0.61,,0.34,,0.08,0.01,15.61,1013,57.7,1140,,13.4,1024,92.41,621.15,75,200
deb-2/41,20.21366667,82.20316667,40.24,0.97,4.57,7.91,,0.19,19.49,6.62,0.58,2,0.61,,0.34,,,,15.61,1013,57.7,1140,,13.4,1024,88.9,597,75,200
deb-2/41,20.2137,82.2032,40.24,0.97,4.57,7.91,,0.19,19.49,6.62,0.58,2,0.61,,,,,,15.61,1030,57,1140,,,1076,90.96,627.15,75,188
